customer,country,name,industry,ticker,last_date_analysis
bryan,hk,boc,bank,3988.hk,2020-06-05
bryan,hk,icbc,bank,1398.hk,2020-06-05
bryan,sg,ocbc,bank,o39.si,2020-06-05
bryan,sg,uob,bank,u11.si,2020-06-05
bryan,sg,dbs,bank,d05.si,2020-06-05
bryan,us,citi,bank,c,2020-06-05
bryan,us,capitalone,bank,cof,2020-06-05
bryan,us,hsbc,bank,hsbc,2020-06-05
bryan,us,deutsche,bank,db,2020-06-05
bryan,us,wells,bank,wfc,2020-06-05
bryan,us,jp,bank,jpm,2020-06-05
bryan,us,goldman,bank,gs,2020-06-05
bryan,us,boamerica,bank,bac,2020-06-05
bryan,us,amex,bank,axp,2020-06-05
Bryan,us,firstrepbank,bank,frc,
bryan,sg,shengshiong,consumer,ov8.si,2020-06-05
bryan,us,starbucks,consumer,sbux,2020-06-05
bryan,us,mcd,consumer,mcd,2020-06-05
bryan,us,disney,consumer,dis,2020-06-05
bryan,us,bedbath,consumer,bbby,2020-06-05
Bryan,us,chipotle,consumer,cmg,2020-06-05
Bryan,us,discovery,entertainment,disca,2020-06-05
all,hk,hangseng,index,^hsi,2020-06-05
all,us,sp500,index,^gspc,2020-06-05
bryan,hk,pingan,insurance,2318.hk,2020-06-05
mom,hk,chinalife,insurance,2628.hk,2020-06-05
ping,hk,penta,manufacturing,1665.hk,2020-06-05
bryan,sg,valuetronics,manufacturing,bn2.si,2020-06-05
ping,sg,frencken,manufacturing,e28.si,2020-06-05
bryan,us,hp,manufacturing,hpq,2020-06-05
bryan,us,mmm,manufacturing,mmm,2020-06-05
bryan,sg,capitamall,reit,c38u.si,2020-06-05
mom,sg,keppelinfra,reit,a7ru.si,2020-06-05
bryan,hk,zte,semicon,0763.hk,2020-06-05
ping,hk,smic,semicon,0981.hk,2020-06-05
ping,sg,aem,semicon,awx.si,2020-06-05
ping,sg,ums,semicon,558.si,2020-06-05
ping,sg,netlink,semicon,cjlu.si,2020-06-05
bryan,us,micron,semicon,mu,2020-06-05
bryan,us,intel,semicon,intc,2020-06-05
bryan,us,skyworks,semicon,swks,2020-06-05
bryan,us,qual,semicon,qcom,2020-06-05
bryan,us,ibm,semicon,ibm,2020-06-05
bryan,us,twsemicon,semicon,tsm,2020-06-05
Bryan,us,qorvo,semicon,qrvo,2020-06-05
bryan,hk,tencent,tech,0700.hk,2020-06-05
bryan,hk,xiaomi,tech,1810.hk,2020-06-05
bryan,us,google,tech,goog,2020-06-05
bryan,us,amazon,tech,amzn,2020-06-05
bryan,us,facebook,tech,fb,2020-06-05
bryan,us,alibaba,tech,baba,2020-06-05
bryan,us,visa,tech,v,2020-06-05
bryan,us,master,tech,ma,2020-06-05
bryan,us,sea,tech,se,2020-06-05
ping,us,salesforce,tech,crm,2020-06-05
bryan,us,netflix,tech,nflx,2020-06-05
bryan,us,tesla,tech,tsla,2020-06-05
bryan,us,microsoft,tech,msft,2020-06-05
bryan,us,apple,tech,aapl,2020-06-05
bryan,us,thetradedesk,tech,ttd,2020-06-05
bryan,us,wix,tech,wix,2020-06-05
bryan,us,uber,tech,uber,2020-06-05
Bryan,us,equinix,tech,eqix,
Bryan,us,oracle,tech,orcl,
Bryan,us,paypal,tech,pypl,
Bryan,us,accenture,tech,acn,
mom,sg,singtel,telco,z74.si,2020-06-05
bryan,sg,starthub,telco,cc3.si,2020-06-05
ping,sg,sbs,transport,s61.si,2020-06-05
bryan,sg,comfdelgro,transport,c52.si,2020-06-05
bryan,sg,sia,travel,c6l.si,2020-06-05
mom,sg,chinaaviation,travel,g92.si,2020-06-05
bryan,sg,sats,travel,s58.si,2020-06-05
bryan,us,united,travel,ual,2020-06-05
bryan,us,delta,travel,dal,2020-06-05
bryan,us,southwest,travel,luv,2020-06-05
bryan,us,boeing,travel,ba,2020-06-05
bryan,us,tripadvisor,travel,trip,2020-06-05
